01/16/2022,02/11/2022,02/15/2022,03/03/2022,מרתון ירושלים 22/3,,,,,
מס' חוג,שם חוג,שם קורס ,מספר קורס,סמסטר,הערות ,מועד א'  ,מועד ב'  ,סיבה לשינויי,סיבה לדחיית השינוי
530,מתמטיקה,אלגברה לכימאים,80325,א',,1/21/2022,27\02\2022,"שונה בהתאם לבקשת החוג, מועד הוזז בעקבות ההזזה של הפיסיקאים והצורך בחפיפה של התאריכים",
530,מתמטיקה,תולדות המתמטיקה,80402,א',,1/28/2022,2/25/2022,,
530,מתמטיקה,קורס השלמה בחשבון אינפינטסימלי מתקדם 1 ,80414,א',לשבץ בתאריכים של 80415 כולל שעה זהה,1/27/2022,2/18/2022,,
530,מתמטיקה,חשבון אינפיניטסימלי 3,80415,א' או ב',לשבץ בתאריכים של 80414 כולל שעה,1/27/2022,2/18/2022,,
530,מתמטיקה,תורת ההסתברות (1),80420,א',,2/7/2022,3/3/2022,,
530,מתמטיקה,מבוא ללוגיקה,80423,א',שבת,20/1/22,16.2.22,,
530,מתמטיקה,מבוא להסתברות וסטטיסטיקה,80430,א' או ב',,08/02/2022,04/03/2022,לבקשת החוג למתמטיקה,
530,מתמטיקה,קומבינטוריקה,80520,ב',,26/01/2022,28/02/2022,עבר מסמטר ב' לא',
530,מתמטיקה,מבנים אלגבריים (1),80445,א' או ב',,2/2/2022,2/23/2022,,
529,מתמטיקה,,80301,א',,4/2/2022,2/3/2022,תאריכים היו חסרים,
530,מתמטיקה,תורת המידה,80517,א',,11/2/2022,6/3/2022,,
530,מתמטיקה,פונקציות מרוכבות,80519,א',,2/2/2022,2/22/2022,,
530,מתמטיקה,מושגי יסוד באלגברה קומוטטיבית וגיאומטריה אלגברית,80599,א',,2/4/2022,3/4/2022,,
530,מתמטיקה,מושגי יסוד באנליזה פונקציונלית,80600,א',,1/24/2022,2/23/2022,,
530,מתמטיקה,תורת הקטגוריות ,80779,א',,1/17/2022,2/18/2022,,
541,פיסיקה,מבוא למדעי הטבע,77098,א',,,,,
541,פיסיקה,מכניקה ויחסות פרטית,77101,א' או ב',,8.2.22,04.03.22,,
541,פיסיקה,"פיסיקה כללית - מכניקה לתלמידי כימיה וכדה""א",77130,א',,2/10/2022,3/3/2022,,
541,פיסיקה,מכניקה וזורמים למדעים,77133,א',,1/25/2022,2/20/2022,,
541,פיסיקה,"מכניקה וזורמים לתלמידי רפואה ורפו""ש",77141,א',,1/27/2022,2/27/2022,,
541,פיסיקה,"חשמל וגלים לתלמידי רפואה ורפו""ש",77142,א',,2/6/2022, 28/2/22,,
541,פיסיקה,מכניקה אנליטית,77303,א',,10.2.22,2.3.22,,
541,פיסיקה,גלים ואופטיקה,77305,א',,1/30/2022,2/25/2022,,
541,פיסיקה,מבוא לפיסיקה סטטיסטית,77307,א',,1/28/2022,2/21/2022,,
541,פיסיקה,משוואות של פיסיקה מתמטית,77313,א',,4.2.22,8.3.22,,
541,פיסיקה,מבוא לאלקטרוניקה א - אנלוגי,77320,א',,2/6/2022,2/27/2022,,
541,פיסיקה,אסטרופיסיקה וקוסמולוגיה,77501,א',,1/23/2022,2/17/2022,,
541,פיסיקה,חישוב קוונטי לפיסיקאים,77523,א',,26/01/2022,04/03/2022,,
541,פיסיקה,תורת הקוונטים (2),77605,א',,2/9/2022,3/1/2022,,
541,פיסיקה,מבוא לפיזיקה לא לינארית,77607,א',,1/20/2022,2/14/2022,,
,,,77324,,,17/01/2022,15/02/2022,,
,,,77611,,,2/1/2022,2/25/2022,,
541,פיסיקה,תורת הקוונטים מתקדם א,77800,א',,1/24/2022,2/24/2022,,
541,פיסיקה,יחסות וגרביטציה,77909,א',,1/16/2022,2/13/2022,,
541,פיסיקה,מצב מעובה א - אלקטרונים ופונונים בסריג מחזורי,77960,א',,3.2.22,3.3.22,,
541,פיסיקה,מבוא לתורת החבורות בפיסיקה,77990,א',,1/30/2022,2/23/2022,,
541,פיסיקה,מעברי פזה ותופעות קריטיות,77991,א',,2/2/2022,2.3.22,,
545,מדעי האטמוספירה,דינמיקה של אטמוספרה,82301,א',,1/21/2022,2/18/2022,,
545,מדעי האטמוספירה,תרומדינמיקה של האטמוספירה והאוקיאנוסים,82314,,חובה בוגר ,1/23/2022,2/16/2022,,
,מדעי האטמוספירה ,עקרונות חישה מרחוק של אטמוסיפירה,82850,ב',,2/6/2022,3/1/2022,,
545,מדעי האטמוספירה,"קלימטולוגיה סינופטית של מזה""ת וישראל",82892,א',,1/20/2022,2/15/2022,,
560,כימיה,מבוא לכימיה,69107,א',,1/25/2022,2/20/2022,,
560,כימיה,כימיה אורגנית לתלמידי מדעים ביורפואיים,69118,א',,2/2/2022,2/27/2022,,
560,כימיה,"כימיה אורגנית לתלמידי רפואה, רפואת - צמרת, רפואת שיניים",69120,א',,2/14/2022,3/3/2022,,
560,כימיה,כימיה כללית למדעים ביורפואיים ולכדור הארץ,69132,א',,1/25/2022,2/16/2022,,
560,כימיה,"כימיה כללית לתלמידי רפואה, רפואה - צמרת, רפואת שיניים",69134,א',מועד ב' שיהיה מוקדם ככל האפשר ,,2/16/2022,,
560,כימיה,מבוא לכימיה לתלמידי רוקחות ,69135,א',,1/25/2022,2/17/2022,,
560,כימיה,כימיה פיסיקלית ב' - תרמודינמיקה א,69301,א',,1/25/2022,2/21/2022,,"לא שונה, פוגע בשילובים אחרים גדולים"
560,כימיה,כימיה אי אורגנית,69303,א',,1/19/2022,2/15/2022,,
560,כימיה,כימיה אורגנית ב',69306,א',,10.2.22,1.3.22,,
560,כימיה,כימיה פיסיקלית ג,69601,א',,1/27/2022,2/17/2022,,
560,כימיה,עקרונות של כימיה ירוקה,69625,א',,2/10/2022,2/27/2022,,
560,כימיה,"תגובות, מנגנונים ומבנה בכימיה אורגנית",69671,א',,6.2.22,2/23/2022,,
560,כימיה,כימיה פיסיקלית של ננו-חומרים,69674,א',בחירה בוגר שנה א',3.2.22,3/3/2022,,"תאריכים אלו מתאימים לכימיה, כימיה מוסמך ופיזיקה - פיזיקה שינו קוונטים 2"
560,כימיה,קטליזה הומוגנית באמצעות קומפלכסים של מתכות המעבר,69897,א',בחירה בוגר מוסמך,1/23/2022,2/13/2022,,
560,כימיה,מבוא להסתברות וסטטיסטיקה לתלמידי כימיה,69904,א',קורס חובה ,1/19/2022,2/15/2022,,
560,כימיה,מבוא לספקטרוסקופיה,69922,א',,1/24/2022,2/17/2022,,תאריכים תקינים
570,מדעי החיים,מבוא לאקולוגיה,72107,א',,1/25/2022,2/20/2022,,
570,מדעי החיים,ביוכימיה של התא,72120,א',,1/30/2022,2/24/2022,,
570,מדעי החיים,ביוכימיה של התא לתלמידי מדעי החיים,72121,א',,30.1.22,2/24/2022,,
570,מדעי החיים,מבוא לביולוגיה של האורגניזם (מצומצם),72126,א',,18.1.22,15.2.22,,
570,מדעי החיים,מבוא לביולוגיה של האורגניזם,72128,א',,1/18/2022,2/15/2022,,
570,מדעי החיים,מבוא לביולוגיה של התא לתלמידי ביולוגיה,72153,א',,3.2.22,2/27/2022,,
570,מדעי החיים,מבוא לביולוגיה לתלמידי מדעים,72160,א',,20.1.22,2/13/2022,,
570,מדעי החיים,מבוא למדעי הצמח,72334,א',,2/10/2022,2/28/2022,,
570,מדעי החיים,מבוא לפיסיולוגיה,72336,א',,4.2.22,4.3.22,,
570,מדעי החיים,תורשת האדם,72350,א',,1/24/2022,2/14/2022,,
570,מדעי החיים,מבוא למיקרוביולוגיה - שיעור,72362,א',,1/20/2022,2/13/2022,,
