חישוב קוונטי לפיסיקאים,77523,26/01/2022,04/03/2022
תורת הקוונטים (2),77605,2/9/2022,3/1/2022
מבוא לפיזיקה לא לינארית,77607,1/20/2022,2/14/2022
,77324,17/01/2022,15/02/2022
,77611,2/1/2022,2/25/2022
תורת הקוונטים מתקדם א,77800,1/24/2022,2/24/2022
יחסות וגרביטציה,77909,1/16/2022,2/13/2022
מצב מעובה א - אלקטרונים ופונונים בסריג מחזורי,77960,3.2.22,3.3.22
מבוא לתורת החבורות בפיסיקה,77990,1/30/2022,2/23/2022
מעברי פזה ותופעות קריטיות,77991,2/2/2022,2.3.22
דינמיקה של אטמוספרה,82301,1/21/2022,2/18/2022
תרומדינמיקה של האטמוספירה והאוקיאנוסים,82314,1/23/2022,2/16/2022
עקרונות חישה מרחוק של אטמוסיפירה,82850,2/6/2022,3/1/2022
"קלימטולוגיה סינופטית של מזה""ת וישראל",82892,1/20/2022,2/15/2022
מבוא לכימיה,69107,1/25/2022,2/20/2022
כימיה אורגנית לתלמידי מדעים ביורפואיים,69118,2/2/2022,2/27/2022
"כימיה אורגנית לתלמידי רפואה, רפואת - צמרת, רפואת שיניים",69120,2/14/2022,3/3/2022
כימיה כללית למדעים ביורפואיים ולכדור הארץ,69132,1/25/2022,2/16/2022
"כימיה כללית לתלמידי רפואה, רפואה - צמרת, רפואת שיניים",69134,,2/16/2022
מבוא לכימיה לתלמידי רוקחות ,69135,1/25/2022,2/17/2022
כימיה פיסיקלית ב' - תרמודינמיקה א,69301,1/25/2022,2/21/2022
כימיה אי אורגנית,69303,1/19/2022,2/15/2022
כימיה אורגנית ב',69306,10.2.22,1.3.22
כימיה פיסיקלית ג,69601,1/27/2022,2/17/2022
עקרונות של כימיה ירוקה,69625,2/10/2022,2/27/2022
"תגובות, מנגנונים ומבנה בכימיה אורגנית",69671,6.2.22,2/23/2022
כימיה פיסיקלית של ננו-חומרים,69674,3.2.22,3/3/2022
קטליזה הומוגנית באמצעות קומפלכסים של מתכות המעבר,69897,1/23/2022,2/13/2022
