סמינריון סגל ומוסמך באקולוגיה אבולוציה והתנהגות,90604
מבוא לפלאונטולוגיה,70102
מחנה לימוד קיץ,70110
צפונות ים המלח: מטקטוניקת הפלטות לשינויי אקלים,70120
גאולוגיה סטרוקטורלית,70302
מינרלוגיה אופטית,70307
מבוא למודלים במדעי כדור הארץ,70356
מינרלים סלעים,70417
מבוא ל-G.I.S,70511
עיצוב הנוף,70425
משאבי המים בישראל,70515
התפתחות התשתית הפריקמברית של ישראל - מצומצם - סיור,70619
המים בישראל,70657
פטרולוגיה מאגמתית ומטמורפית ,70702
תהליכים במחזור ההידרולוגי,70849
חימום גלובלי: ממדע למדיניות,70930
"מבוא למודלים במדע כדה""א עם מדע""ח ",70939
כימיה אורגנית סביבתית,89787
נושאים באוקיינוגרפיה פיסיקלית,84810
מבוא לתורת האקלים ,68105
כדור הארץ הדינמי,68127
קורי עכביש: ממדע בסיסי לביוטכנולוגיה,94902
מבוא לסטטיסטיקה ,52003
תיאוריה סט' למדעי המחשב ,52309
